identity,p90,Pj,simulator_power_cost,simulator_mean_tracking_monetary,legacy_economic_term,legacy_tracking_transform,legacy_qos,legacy_full,paper_M_RSR,paper_Ctrack,paper_CQoS,paper_full,legacy_minus_paper
c007_a3463391848_r3514694477,0.274,"[0.0, 0.08658008658008665, 0.0, 0.10575169898889436]",40.4293,0.4187356030555556,40.4293,1.0274010981181583,51.500209414337796,92.95691051245595,40.84803560305556,0.5715734864417377,51.500209414337796,92.91981850383509,0.03709200862085993
c007_a3463391848_r624506888,0.274,"[0.0, 0.07560296846011139, 0.0, 0.10939830929885619]",40.4293,0.4096056299444445,40.4293,0.9766546453179308,51.35830238311963,92.76425702843756,40.83890562994444,0.5715734864417377,51.35830238311963,92.76878149950579,-0.004524471068236835
c007_a422443260_r1004088181,0.3,"[0.0, 0.0, 0.0, 0.013762615731086836]",40.4293,0.5154872428888889,40.4293,1.6828337721921849,48.10080495676608,90.21293872895826,40.944787242888886,0.6931471805599453,48.10080495676608,89.73873938021492,0.47419934874334047
c007_a422443260_r3514694477,0.3,"[0.0, 0.0, 0.0, 0.004670948369338568]",40.4293,0.5174208433888889,40.4293,1.6981206455167512,47.93543371332764,90.06285435884439,40.94672084338889,0.6931471805599453,47.93543371332764,89.57530173727648,0.48755262156791446
c007_a422443260_r422443260,0.305,"[0.0, 0.0, 0.0, 0.05346567687046455]",40.4293,0.5277021626666667,40.4293,1.7808274914068574,48.84223593306428,91.05236342447114,40.95700216266666,0.7184596480132863,48.84223593306428,90.51769774374422,0.534665680726917
c007_a422443260_r624506888,0.3,"[0.0, 0.0, 0.0, 0.010926682792559816]",40.4293,0.5216552999444446,40.4293,1.7318942384358658,48.04904529436689,90.21023953280275,40.95095529994444,0.6931471805599453,48.04904529436689,89.69314777487128,0.5170917579314676
c007_a598775175_r1004088181,0.243,"[0.0, 0.0, 0.0, 0.1672259965621674]",40.4293,0.3267031971111112,40.4293,0.599680075824446,51.14095505180136,92.1699351276258,40.756003197111106,0.4482215112208327,51.14095505180136,92.3451797601333,-0.1752446325074999
c007_a598775175_r3514694477,0.242,"[0.0, 0.0, 0.0, 0.14078742735532457]",40.4293,0.3212219079444445,40.4293,0.5797656496547152,50.58365585286169,91.59272150251641,40.750521907944446,0.44462066950155305,50.58365585286169,91.77879843030769,-0.1860769277912766
c007_a598775175_r598775175,0.256,"[0.0, 0.0, 0.0, 0.2059425390848817]",40.4293,0.36443136033333334,40.4293,0.7530328868670324,51.98215544098966,93.16448832785669,40.79373136033333,0.4971544503321099,51.98215544098966,93.27304125165509,-0.10855292379839909
c007_a598775175_r624506888,0.255,"[0.0, 0.0, 0.0, 0.1943193910125235]",40.4293,0.3498421333888889,40.4293,0.6902716317996213,51.72649347922366,92.84606511102328,40.77914213338889,0.49324894599745495,51.72649347922366,92.99888455861,-0.1528194475867224
