case_id,phase,tier,workload,category,J,bank_id,method,N,U,scenario_seed,confirmation_seeds,candidate_bank_seed,starts,iterations,search_budget,max_workers,weight_policy
c015,2,SCREENING,MIX4-TIII,CLEAN_J4_COMPOSITION,4,ddcc6b717de158665823523cf3c59ef87d5c4983f0c15586f953ea87fb8ff931,v3_only,1000,0.6,2625299905,"[659115503, 2993169749]",300015,128,500,1,4,fixed
c015,2,SCREENING,MIX4-TIII,CLEAN_J4_COMPOSITION,4,ddcc6b717de158665823523cf3c59ef87d5c4983f0c15586f953ea87fb8ff931,v3_fixed_probing,1000,0.6,2625299905,"[659115503, 2993169749]",300015,128,500,16,4,fixed
c015,2,SCREENING,MIX4-TIII,CLEAN_J4_COMPOSITION,4,ddcc6b717de158665823523cf3c59ef87d5c4983f0c15586f953ea87fb8ff931,simulator_only_adaptive,1000,0.6,2625299905,"[659115503, 2993169749]",300015,0,0,16,4,fixed
c015,2,SCREENING,MIX4-TIII,CLEAN_J4_COMPOSITION,4,ddcc6b717de158665823523cf3c59ef87d5c4983f0c15586f953ea87fb8ff931,argos_fixed_budget,1000,0.6,2625299905,"[659115503, 2993169749]",300015,128,500,16,4,fixed
c015,2,SCREENING,MIX4-TIII,CLEAN_J4_COMPOSITION,4,ddcc6b717de158665823523cf3c59ef87d5c4983f0c15586f953ea87fb8ff931,argos_early_stop,1000,0.6,2625299905,"[659115503, 2993169749]",300015,128,500,16,4,fixed
c016,2,SCREENING,MIX4-ITTT,CLEAN_J4_COMPOSITION,4,230dab111ff0d6c1292aa89000e4e5a49775e972768959534845e4dc7c49d35b,v3_only,1000,0.6,1804256773,"[1818842284, 4124344369]",300016,128,500,1,4,fixed
c016,2,SCREENING,MIX4-ITTT,CLEAN_J4_COMPOSITION,4,230dab111ff0d6c1292aa89000e4e5a49775e972768959534845e4dc7c49d35b,v3_fixed_probing,1000,0.6,1804256773,"[1818842284, 4124344369]",300016,128,500,16,4,fixed
c016,2,SCREENING,MIX4-ITTT,CLEAN_J4_COMPOSITION,4,230dab111ff0d6c1292aa89000e4e5a49775e972768959534845e4dc7c49d35b,simulator_only_adaptive,1000,0.6,1804256773,"[1818842284, 4124344369]",300016,0,0,16,4,fixed
c016,2,SCREENING,MIX4-ITTT,CLEAN_J4_COMPOSITION,4,230dab111ff0d6c1292aa89000e4e5a49775e972768959534845e4dc7c49d35b,argos_fixed_budget,1000,0.6,1804256773,"[1818842284, 4124344369]",300016,128,500,16,4,fixed
c016,2,SCREENING,MIX4-ITTT,CLEAN_J4_COMPOSITION,4,230dab111ff0d6c1292aa89000e4e5a49775e972768959534845e4dc7c49d35b,argos_early_stop,1000,0.6,1804256773,"[1818842284, 4124344369]",300016,128,500,16,4,fixed
c017,2,SCREENING,MIX4-ITTI,CLEAN_J4_COMPOSITION,4,432646c867020e219e94f28697ca8ac728f0baa51c8511c7e060269153c28391,v3_only,1000,0.6,2265255278,"[1887449036, 776261383]",300017,128,500,1,4,fixed
c017,2,SCREENING,MIX4-ITTI,CLEAN_J4_COMPOSITION,4,432646c867020e219e94f28697ca8ac728f0baa51c8511c7e060269153c28391,v3_fixed_probing,1000,0.6,2265255278,"[1887449036, 776261383]",300017,128,500,16,4,fixed
c017,2,SCREENING,MIX4-ITTI,CLEAN_J4_COMPOSITION,4,432646c867020e219e94f28697ca8ac728f0baa51c8511c7e060269153c28391,simulator_only_adaptive,1000,0.6,2265255278,"[1887449036, 776261383]",300017,0,0,16,4,fixed
c017,2,SCREENING,MIX4-ITTI,CLEAN_J4_COMPOSITION,4,432646c867020e219e94f28697ca8ac728f0baa51c8511c7e060269153c28391,argos_fixed_budget,1000,0.6,2265255278,"[1887449036, 776261383]",300017,128,500,16,4,fixed
c017,2,SCREENING,MIX4-ITTI,CLEAN_J4_COMPOSITION,4,432646c867020e219e94f28697ca8ac728f0baa51c8511c7e060269153c28391,argos_early_stop,1000,0.6,2265255278,"[1887449036, 776261383]",300017,128,500,16,4,fixed
c018,2,SCREENING,MIX4-ITIT,CLEAN_J4_COMPOSITION,4,183904f2ac2172f64f7f18a2fbb9b1bc6b9baa6fb71f9a2688a0f52a24bfb6f0,v3_only,1000,0.6,1063395583,"[2640374730, 3668301011]",300018,128,500,1,4,fixed
c018,2,SCREENING,MIX4-ITIT,CLEAN_J4_COMPOSITION,4,183904f2ac2172f64f7f18a2fbb9b1bc6b9baa6fb71f9a2688a0f52a24bfb6f0,v3_fixed_probing,1000,0.6,1063395583,"[2640374730, 3668301011]",300018,128,500,16,4,fixed
c018,2,SCREENING,MIX4-ITIT,CLEAN_J4_COMPOSITION,4,183904f2ac2172f64f7f18a2fbb9b1bc6b9baa6fb71f9a2688a0f52a24bfb6f0,simulator_only_adaptive,1000,0.6,1063395583,"[2640374730, 3668301011]",300018,0,0,16,4,fixed
c018,2,SCREENING,MIX4-ITIT,CLEAN_J4_COMPOSITION,4,183904f2ac2172f64f7f18a2fbb9b1bc6b9baa6fb71f9a2688a0f52a24bfb6f0,argos_fixed_budget,1000,0.6,1063395583,"[2640374730, 3668301011]",300018,128,500,16,4,fixed
c018,2,SCREENING,MIX4-ITIT,CLEAN_J4_COMPOSITION,4,183904f2ac2172f64f7f18a2fbb9b1bc6b9baa6fb71f9a2688a0f52a24bfb6f0,argos_early_stop,1000,0.6,1063395583,"[2640374730, 3668301011]",300018,128,500,16,4,fixed
c019,2,SCREENING,MIX4-ITII,CLEAN_J4_COMPOSITION,4,a4e84c580719028738eee4bbd9a51213bb61bf20376f8918aca380cae51db846,v3_only,1000,0.6,3544121876,"[2721837221, 318939202]",300019,128,500,1,4,fixed
